addr_street;addr_number;addr_building;addr_letter;addr_district;data_buildingdate;param_ukname;repair_years;repair_work_problem;number;lat;lon;data_reconstructiondate;age;index_r;age_norm;age_norm_inv
Обуховской Обороны пр.;219;0.0;А;Невский;1917;"ООО ""Жилкомсервис №2 Невского района""";2020;"Ремонт конструкций и замена покрытий крыш; Ремонт фасада (Герметизация стыков стеновых панелей); Ремонт и восстановление озеленения; Асфальтирование и замощение придомовой территории";8665;30.275893;59.98318;2.0;101;0.08006565453316855;0.33916083916083917;0.6608391608391608
Санкт-Петербургское ш.;67;2.0;А;Петродворцовый;1966;"ООО ""ЖКС поселка Стрельна""";2020;"Ремонт фасадов без утепления; Ремонт или замена системы холодного водоснабжения; Ремонт конструкций и замена покрытий крыш; Ремонт или замена системы отопления; Расходы на изготовление проектно-сметной документации; Установка общедомовых (и квартирных при замене сетей) приборов учета потребления: тепловой энергии на нужды отопления и горячего водоснабжения, потребления холодной воды, электрической энергии, газа";19560;30.330906;60.050583;4.0;52;0.062438784283876274;0.16783216783216784;0.8321678321678322
Загородный пр.;12;0.0;А;Центральный;1880;"ООО "" Жилкомсервис №2 Центрального района """;2020;"Капитальный ремонт лифтов с полной заменой оборудования: реконструкция лифтов; Ремонт или замена системы холодного водоснабжения; Ремонт конструкций и замена покрытий крыш; Ремонт или замена системы отопления; Ремонт или замена системы электроснабжения; Ремонт или восстановление внутридомовых инженерных систем; Расходы на изготовление проектно-сметной документации; Капитальный ремонт лифтов с полной  заменой оборудования: реконструкция  лифтов";12884;30.315868;59.939095;10.0;138;0.01016902876859683;0.46853146853146854;0.5314685314685315
Ленсовета ул.;сен.24;0.0;А;Московский;1961;"ООО ""Жилкомсервис № 2 Московского района""";2020;Ремонт конструкций и замена покрытий крыш;11673;30.475903;59.909996;1.0;57;0.16598329588712366;0.1853146853146853;0.8146853146853147
Володи Ермака ул.;19;0.0;А;Адмиралтейский;1872;"ООО ""Жилкомсервис №1 Адмиралтейского района""";2020;"Ремонт или замена системы электроснабжения; Благоустройство придомовой территории; Расходы на изготовление проектно-сметной документации";16065;30.365248;59.939424;1.0;146;0.10449616785359067;0.4965034965034965;0.5034965034965035
пос.Шушары, Пушкинская ул.;3;0.0;А;Пушкинский;1959;"ООО ""Жилкомсервис № 1 Пушкинского района""";2020;"Ремонт или замена системы холодного водоснабжения; Ремонт конструкций и замена покрытий крыш; Ремонт или замена системы отопления";18271;30.57426;59.734589;1.0;59;0.1632991124929868;0.19230769230769232;0.8076923076923077
г.Сестрорецк, Воскова ул.;1;0.0;А;Курортный;1979;"ООО ""ЖКС Курортного района""";2020;"Ремонт или замена системы горячего водоснабжения; Ремонт конструкций и замена покрытий крыш; АВКР; Расходы на изготовление проектно-сметной документации; Установка общедомовых (и квартирных при замене сетей) приборов учета потребления: тепловой энергии на нужды отопления и горячего водоснабжения, потребления холодной воды, электрической энергии, газа";823;30.336296;59.83750799999999;10.0;39;0.026604109910797973;0.12237762237762238;0.8776223776223776
Каменноостровский пр.;64;6.0;И;Петроградский;1933;"УК ООО ""Жилкомсервис №2 Петроградского района""";2020;"Ремонт конструкций и замена покрытий крыш; Ремонт фасада (Герметизация стыков стеновых панелей); Ремонт или восстановление внутридомовых инженерных систем; Ремонт или замена системы отопления";8374;30.395737;59.876666;3.0;85;0.06275941568910964;0.28321678321678323;0.7167832167832168
Тореза пр.;94;2.0;А;Выборгский;1963;"ООО ""СТРОИТЕЛЬНЫЕ СИСТЕМЫ""";2020;"Ремонт или замена системы холодного водоснабжения; Капитальный ремонт лифтов с полной  заменой оборудования: реконструкция  лифтов; Ремонт или замена системы электроснабжения; Ремонт или замена системы отопления";1503;30.347183;59.984521;2.0;55;0.10871025112531277;0.17832167832167833;0.8216783216783217
Науки пр.;45;2.0;А;Калининский;1972;ООО «Жилкомсервис № 2 Калининского района»;2020;"Капитальный ремонт лифтов с полной заменой оборудования: реконструкция лифтов; Ремонт или замена системы горячего водоснабжения; Ремонт или замена системы холодного водоснабжения; Ремонт конструкций и замена покрытий крыш; Ремонт фасада (Герметизация стыков стеновых панелей); Ремонт или замена системы отопления; Ремонт или замена системы электроснабжения";12071;30.32848;59.977057;13.0;46;0.016379529923030448;0.14685314685314685;0.8531468531468531
